CUPS;Date;Hour;AE_kWh
RandomCups;07/06/2021;20;0,131
RandomCups;07/06/2021;21;0,018
RandomCups;07/06/2021;22;0,346
RandomCups;07/06/2021;23;0,033
RandomCups;07/06/2021;24;0,187
RandomCups;08/06/2021;1;0,345
RandomCups;08/06/2021;2;0,199
RandomCups;08/06/2021;3;0,130
RandomCups;08/06/2021;4;0,149
RandomCups;08/06/2021;5;0,058
RandomCups;08/06/2021;6;0,010
RandomCups;08/06/2021;7;0,132
RandomCups;08/06/2021;8;0,473
RandomCups;08/06/2021;9;0,423
RandomCups;08/06/2021;10;0,421
RandomCups;08/06/2021;11;0,204
RandomCups;08/06/2021;12;0,452
RandomCups;08/06/2021;13;0,377
RandomCups;08/06/2021;14;0,153
RandomCups;08/06/2021;15;0,387
RandomCups;08/06/2021;16;0,347
RandomCups;08/06/2021;17;0,066
RandomCups;08/06/2021;18;0,214
RandomCups;08/06/2021;19;0,125
RandomCups;08/06/2021;20;0,134
RandomCups;08/06/2021;21;0,277
RandomCups;08/06/2021;22;0,191
RandomCups;08/06/2021;23;0,216
RandomCups;08/06/2021;24;0,170
RandomCups;09/06/2021;1;0,132
RandomCups;09/06/2021;2;0,464
RandomCups;09/06/2021;3;0,092
RandomCups;09/06/2021;4;0,194
RandomCups;09/06/2021;5;0,506
RandomCups;09/06/2021;6;0,069
RandomCups;09/06/2021;7;0,469
RandomCups;09/06/2021;8;0,351
RandomCups;09/06/2021;9;0,163
RandomCups;09/06/2021;10;0,100
RandomCups;09/06/2021;11;0,032
RandomCups;09/06/2021;12;0,203
RandomCups;09/06/2021;13;0,076
RandomCups;09/06/2021;14;0,491
RandomCups;09/06/2021;15;0,444
RandomCups;09/06/2021;16;0,252
RandomCups;09/06/2021;17;0,451
RandomCups;09/06/2021;18;0,095
RandomCups;09/06/2021;19;0,012
RandomCups;09/06/2021;20;0,329
RandomCups;09/06/2021;21;0,186
RandomCups;09/06/2021;22;0,019
RandomCups;09/06/2021;23;0,149
RandomCups;09/06/2021;24;0,370
RandomCups;10/06/2021;1;0,297
RandomCups;10/06/2021;2;0,302
RandomCups;10/06/2021;3;0,289
RandomCups;10/06/2021;4;0,373
RandomCups;10/06/2021;5;0,397
RandomCups;10/06/2021;6;0,312
RandomCups;10/06/2021;7;0,371
RandomCups;10/06/2021;8;0,256
RandomCups;10/06/2021;9;0,300
RandomCups;10/06/2021;10;0,069
RandomCups;10/06/2021;11;0,022
RandomCups;10/06/2021;12;0,122
RandomCups;10/06/2021;13;0,485
RandomCups;10/06/2021;14;0,184
RandomCups;10/06/2021;15;0,379
RandomCups;10/06/2021;16;0,402
RandomCups;10/06/2021;17;0,254
RandomCups;10/06/2021;18;0,367
RandomCups;10/06/2021;19;0,115
RandomCups;10/06/2021;20;0,230
RandomCups;10/06/2021;21;0,052
RandomCups;10/06/2021;22;0,359
RandomCups;10/06/2021;23;0,138
RandomCups;10/06/2021;24;0,187
RandomCups;11/06/2021;1;0,060
RandomCups;11/06/2021;2;0,151
RandomCups;11/06/2021;3;0,184
RandomCups;11/06/2021;4;0,443
RandomCups;11/06/2021;5;0,263
RandomCups;11/06/2021;6;0,452
RandomCups;11/06/2021;7;0,022
RandomCups;11/06/2021;8;0,367
RandomCups;11/06/2021;9;0,330
RandomCups;11/06/2021;10;0,130
RandomCups;11/06/2021;11;0,220
RandomCups;11/06/2021;12;0,285
RandomCups;11/06/2021;13;0,359
RandomCups;11/06/2021;14;0,197
RandomCups;11/06/2021;15;0,494
RandomCups;11/06/2021;16;0,147
RandomCups;11/06/2021;17;0,433
RandomCups;11/06/2021;18;0,416
RandomCups;11/06/2021;19;0,299
RandomCups;11/06/2021;20;0,154
RandomCups;11/06/2021;21;0,339
RandomCups;11/06/2021;22;0,426
RandomCups;11/06/2021;23;0,436
RandomCups;11/06/2021;24;0,252
RandomCups;12/06/2021;1;0,244
RandomCups;12/06/2021;2;0,011
RandomCups;12/06/2021;3;0,101
RandomCups;12/06/2021;4;0,383
RandomCups;12/06/2021;5;0,352
RandomCups;12/06/2021;6;0,279
RandomCups;12/06/2021;7;0,352
RandomCups;12/06/2021;8;0,100
RandomCups;12/06/2021;9;0,416
RandomCups;12/06/2021;10;0,139
RandomCups;12/06/2021;11;0,327
RandomCups;12/06/2021;12;0,130
RandomCups;12/06/2021;13;0,271
RandomCups;12/06/2021;14;0,112
RandomCups;12/06/2021;15;0,178
RandomCups;12/06/2021;16;0,444
RandomCups;12/06/2021;17;0,214
RandomCups;12/06/2021;18;0,498
RandomCups;12/06/2021;19;0,037
RandomCups;12/06/2021;20;0,337
RandomCups;12/06/2021;21;0,084
RandomCups;12/06/2021;22;0,209
RandomCups;12/06/2021;23;0,078
RandomCups;12/06/2021;24;0,187
RandomCups;13/06/2021;1;0,462
RandomCups;13/06/2021;2;0,271
RandomCups;13/06/2021;3;0,366
RandomCups;13/06/2021;4;0,421
RandomCups;13/06/2021;5;0,287
RandomCups;13/06/2021;6;0,191
RandomCups;13/06/2021;7;0,251
RandomCups;13/06/2021;8;0,107
RandomCups;13/06/2021;9;0,104
RandomCups;13/06/2021;10;0,173
RandomCups;13/06/2021;11;0,134
RandomCups;13/06/2021;12;0,108
RandomCups;13/06/2021;13;0,186
RandomCups;13/06/2021;14;0,129
RandomCups;13/06/2021;15;0,295
RandomCups;13/06/2021;16;0,271
RandomCups;13/06/2021;17;0,224
RandomCups;13/06/2021;18;0,105
RandomCups;13/06/2021;19;0,337
RandomCups;13/06/2021;20;0,502
RandomCups;13/06/2021;21;0,262
RandomCups;13/06/2021;22;0,461
RandomCups;13/06/2021;23;0,049
RandomCups;13/06/2021;24;0,332
RandomCups;14/06/2021;1;0,291
RandomCups;14/06/2021;2;0,459
RandomCups;14/06/2021;3;0,051
RandomCups;14/06/2021;4;0,174
RandomCups;14/06/2021;5;0,361
RandomCups;14/06/2021;6;0,106
RandomCups;14/06/2021;7;0,424
RandomCups;14/06/2021;8;0,037
RandomCups;14/06/2021;9;0,399
RandomCups;14/06/2021;10;0,005
RandomCups;14/06/2021;11;0,221
RandomCups;14/06/2021;12;0,179
RandomCups;14/06/2021;13;0,430
RandomCups;14/06/2021;14;0,326
RandomCups;14/06/2021;15;0,393
RandomCups;14/06/2021;16;0,201
RandomCups;14/06/2021;17;0,082
RandomCups;14/06/2021;18;0,405
RandomCups;14/06/2021;19;0,319
RandomCups;14/06/2021;20;0,449
RandomCups;14/06/2021;21;0,169
RandomCups;14/06/2021;22;0,317
RandomCups;14/06/2021;23;0,255
RandomCups;14/06/2021;24;0,231
RandomCups;15/06/2021;1;0,264
RandomCups;15/06/2021;2;0,319
RandomCups;15/06/2021;3;0,463
RandomCups;15/06/2021;4;0,127
RandomCups;15/06/2021;5;0,142
RandomCups;15/06/2021;6;0,031
RandomCups;15/06/2021;7;0,222
RandomCups;15/06/2021;8;0,199
RandomCups;15/06/2021;9;0,246
RandomCups;15/06/2021;10;0,140
RandomCups;15/06/2021;11;0,308
RandomCups;15/06/2021;12;0,392
RandomCups;15/06/2021;13;0,345
RandomCups;15/06/2021;14;0,240
RandomCups;15/06/2021;15;0,200
RandomCups;15/06/2021;16;0,016
RandomCups;15/06/2021;17;0,291
RandomCups;15/06/2021;18;0,351
RandomCups;15/06/2021;19;0,480
RandomCups;15/06/2021;20;0,051
RandomCups;15/06/2021;21;0,266
RandomCups;15/06/2021;22;0,387
RandomCups;15/06/2021;23;0,380
RandomCups;15/06/2021;24;0,062
RandomCups;16/06/2021;1;0,258
RandomCups;16/06/2021;2;0,445
RandomCups;16/06/2021;3;0,264
RandomCups;16/06/2021;4;0,245
RandomCups;16/06/2021;5;0,291
RandomCups;16/06/2021;6;0,021
RandomCups;16/06/2021;7;0,131
RandomCups;16/06/2021;8;0,486
RandomCups;16/06/2021;9;0,393
RandomCups;16/06/2021;10;0,032
RandomCups;16/06/2021;11;0,299
RandomCups;16/06/2021;12;0,409
RandomCups;16/06/2021;13;0,234
RandomCups;16/06/2021;14;0,212
RandomCups;16/06/2021;15;0,044
RandomCups;16/06/2021;16;0,397
RandomCups;16/06/2021;17;0,086
RandomCups;16/06/2021;18;0,463
RandomCups;16/06/2021;19;0,065
RandomCups;16/06/2021;20;0,318
RandomCups;16/06/2021;21;0,137
RandomCups;16/06/2021;22;0,428
RandomCups;16/06/2021;23;0,399
RandomCups;16/06/2021;24;0,282
RandomCups;17/06/2021;1;0,305
RandomCups;17/06/2021;2;0,156
RandomCups;17/06/2021;3;0,344
RandomCups;17/06/2021;4;0,362
RandomCups;17/06/2021;5;0,198
RandomCups;17/06/2021;6;0,379
RandomCups;17/06/2021;7;0,250
RandomCups;17/06/2021;8;0,305
RandomCups;17/06/2021;9;0,097
RandomCups;17/06/2021;10;0,478
RandomCups;17/06/2021;11;0,022
RandomCups;17/06/2021;12;0,475
RandomCups;17/06/2021;13;0,479
RandomCups;17/06/2021;14;0,464
RandomCups;17/06/2021;15;0,424
RandomCups;17/06/2021;16;0,310
RandomCups;17/06/2021;17;0,078
RandomCups;17/06/2021;18;0,280
RandomCups;17/06/2021;19;0,307
RandomCups;17/06/2021;20;0,262
RandomCups;17/06/2021;21;0,279
RandomCups;17/06/2021;22;0,481
RandomCups;17/06/2021;23;0,104
RandomCups;17/06/2021;24;0,231
RandomCups;18/06/2021;1;0,172
RandomCups;18/06/2021;2;0,436
RandomCups;18/06/2021;3;0,329
RandomCups;18/06/2021;4;0,241
RandomCups;18/06/2021;5;0,227
RandomCups;18/06/2021;6;0,107
RandomCups;18/06/2021;7;0,413
RandomCups;18/06/2021;8;0,146
RandomCups;18/06/2021;9;0,210
RandomCups;18/06/2021;10;0,183
RandomCups;18/06/2021;11;0,157
RandomCups;18/06/2021;12;0,332
RandomCups;18/06/2021;13;0,041
RandomCups;18/06/2021;14;0,100
RandomCups;18/06/2021;15;0,026
RandomCups;18/06/2021;16;0,360
RandomCups;18/06/2021;17;0,369
RandomCups;18/06/2021;18;0,403
RandomCups;18/06/2021;19;0,163
RandomCups;18/06/2021;20;0,469
RandomCups;18/06/2021;21;0,065
RandomCups;18/06/2021;22;0,158
RandomCups;18/06/2021;23;0,252
RandomCups;18/06/2021;24;0,008
RandomCups;19/06/2021;1;0,400
RandomCups;19/06/2021;2;0,092
RandomCups;19/06/2021;3;0,324
RandomCups;19/06/2021;4;0,415
RandomCups;19/06/2021;5;0,442
RandomCups;19/06/2021;6;0,221
RandomCups;19/06/2021;7;0,225
RandomCups;19/06/2021;8;0,207
RandomCups;19/06/2021;9;0,238
RandomCups;19/06/2021;10;0,398
RandomCups;19/06/2021;11;0,374
RandomCups;19/06/2021;12;0,216
RandomCups;19/06/2021;13;0,053
RandomCups;19/06/2021;14;0,205
RandomCups;19/06/2021;15;0,490
RandomCups;19/06/2021;16;0,351
RandomCups;19/06/2021;17;0,410
RandomCups;19/06/2021;18;0,349
RandomCups;19/06/2021;19;0,404
RandomCups;19/06/2021;20;0,387
RandomCups;19/06/2021;21;0,055
RandomCups;19/06/2021;22;0,297
RandomCups;19/06/2021;23;0,236
RandomCups;19/06/2021;24;0,266
RandomCups;20/06/2021;1;0,261
RandomCups;20/06/2021;2;0,085
RandomCups;20/06/2021;3;0,303
RandomCups;20/06/2021;4;0,182
RandomCups;20/06/2021;5;0,325
RandomCups;20/06/2021;6;0,215
RandomCups;20/06/2021;7;0,426
RandomCups;20/06/2021;8;0,161
RandomCups;20/06/2021;9;0,077
RandomCups;20/06/2021;10;0,331
RandomCups;20/06/2021;11;0,101
RandomCups;20/06/2021;12;0,175
RandomCups;20/06/2021;13;0,334
RandomCups;20/06/2021;14;0,399
RandomCups;20/06/2021;15;0,051
RandomCups;20/06/2021;16;0,341
RandomCups;20/06/2021;17;0,410
RandomCups;20/06/2021;18;0,316
RandomCups;20/06/2021;19;0,246
RandomCups;20/06/2021;20;0,318
RandomCups;20/06/2021;21;0,476
RandomCups;20/06/2021;22;0,307
RandomCups;20/06/2021;23;0,326
RandomCups;20/06/2021;24;0,275
RandomCups;21/06/2021;1;0,430
RandomCups;21/06/2021;2;0,482
RandomCups;21/06/2021;3;0,214
RandomCups;21/06/2021;4;0,407
RandomCups;21/06/2021;5;0,469
RandomCups;21/06/2021;6;0,016
RandomCups;21/06/2021;7;0,462
RandomCups;21/06/2021;8;0,444
RandomCups;21/06/2021;9;0,349
RandomCups;21/06/2021;10;0,135
RandomCups;21/06/2021;11;0,054
RandomCups;21/06/2021;12;0,497
RandomCups;21/06/2021;13;0,494
RandomCups;21/06/2021;14;0,055
RandomCups;21/06/2021;15;0,359
RandomCups;21/06/2021;16;0,408
RandomCups;21/06/2021;17;0,450
RandomCups;21/06/2021;18;0,392
RandomCups;21/06/2021;19;0,291
RandomCups;21/06/2021;20;0,176
RandomCups;21/06/2021;21;0,018
RandomCups;21/06/2021;22;0,442
RandomCups;21/06/2021;23;0,476
RandomCups;21/06/2021;24;0,376
RandomCups;22/06/2021;1;0,221
RandomCups;22/06/2021;2;0,012
RandomCups;22/06/2021;3;0,289
RandomCups;22/06/2021;4;0,385
RandomCups;22/06/2021;5;0,371
RandomCups;22/06/2021;6;0,496
RandomCups;22/06/2021;7;0,006
RandomCups;22/06/2021;8;0,264
RandomCups;22/06/2021;9;0,454
RandomCups;22/06/2021;10;0,101
RandomCups;22/06/2021;11;0,398
RandomCups;22/06/2021;12;0,485
RandomCups;22/06/2021;13;0,464
RandomCups;22/06/2021;14;0,347
RandomCups;22/06/2021;15;0,325
RandomCups;22/06/2021;16;0,407
RandomCups;22/06/2021;17;0,112
RandomCups;22/06/2021;18;0,161
RandomCups;22/06/2021;19;0,095
RandomCups;22/06/2021;20;0,421
RandomCups;22/06/2021;21;0,301
RandomCups;22/06/2021;22;0,213
RandomCups;22/06/2021;23;0,202
RandomCups;22/06/2021;24;0,241
RandomCups;23/06/2021;1;0,062
RandomCups;23/06/2021;2;0,487
RandomCups;23/06/2021;3;0,487
RandomCups;23/06/2021;4;0,192
RandomCups;23/06/2021;5;0,057
RandomCups;23/06/2021;6;0,411
RandomCups;23/06/2021;7;0,213
RandomCups;23/06/2021;8;0,072
RandomCups;23/06/2021;9;0,102
RandomCups;23/06/2021;10;0,472
RandomCups;23/06/2021;11;0,146
RandomCups;23/06/2021;12;0,329
RandomCups;23/06/2021;13;0,046
RandomCups;23/06/2021;14;0,080
RandomCups;23/06/2021;15;0,059
RandomCups;23/06/2021;16;0,362
RandomCups;23/06/2021;17;0,355
RandomCups;23/06/2021;18;0,215
RandomCups;23/06/2021;19;0,442
RandomCups;23/06/2021;20;0,224
RandomCups;23/06/2021;21;0,204
RandomCups;23/06/2021;22;0,159
RandomCups;23/06/2021;23;0,020
RandomCups;23/06/2021;24;0,099
RandomCups;24/06/2021;1;0,449
RandomCups;24/06/2021;2;0,073
RandomCups;24/06/2021;3;0,189
RandomCups;24/06/2021;4;0,425
RandomCups;24/06/2021;5;0,419
RandomCups;24/06/2021;6;0,098
RandomCups;24/06/2021;7;0,246
RandomCups;24/06/2021;8;0,205
RandomCups;24/06/2021;9;0,094
RandomCups;24/06/2021;10;0,439
RandomCups;24/06/2021;11;0,210
RandomCups;24/06/2021;12;0,329
RandomCups;24/06/2021;13;0,494
RandomCups;24/06/2021;14;0,313
RandomCups;24/06/2021;15;0,301
RandomCups;24/06/2021;16;0,466
RandomCups;24/06/2021;17;0,411
RandomCups;24/06/2021;18;0,045
RandomCups;24/06/2021;19;0,291
RandomCups;24/06/2021;20;0,356
RandomCups;24/06/2021;21;0,336
RandomCups;24/06/2021;22;0,371
RandomCups;24/06/2021;23;0,464
RandomCups;24/06/2021;24;0,073
RandomCups;25/06/2021;1;0,155
RandomCups;25/06/2021;2;0,006
RandomCups;25/06/2021;3;0,050
RandomCups;25/06/2021;4;0,468
RandomCups;25/06/2021;5;0,364
RandomCups;25/06/2021;6;0,400
RandomCups;25/06/2021;7;0,298
RandomCups;25/06/2021;8;0,104
RandomCups;25/06/2021;9;0,204
RandomCups;25/06/2021;10;0,272
RandomCups;25/06/2021;11;0,148
RandomCups;25/06/2021;12;0,158
RandomCups;25/06/2021;13;0,073
RandomCups;25/06/2021;14;0,235
RandomCups;25/06/2021;15;0,029
RandomCups;25/06/2021;16;0,215
RandomCups;25/06/2021;17;0,458
RandomCups;25/06/2021;18;0,404
RandomCups;25/06/2021;19;0,450
RandomCups;25/06/2021;20;0,348
RandomCups;25/06/2021;21;0,371
RandomCups;25/06/2021;22;0,365
RandomCups;25/06/2021;23;0,114
RandomCups;25/06/2021;24;0,164
RandomCups;26/06/2021;1;0,491
RandomCups;26/06/2021;2;0,301
RandomCups;26/06/2021;3;0,039
RandomCups;26/06/2021;4;0,250
RandomCups;26/06/2021;5;0,080
RandomCups;26/06/2021;6;0,453
RandomCups;26/06/2021;7;0,158
RandomCups;26/06/2021;8;0,162
RandomCups;26/06/2021;9;0,118
RandomCups;26/06/2021;10;0,188
RandomCups;26/06/2021;11;0,137
RandomCups;26/06/2021;12;0,067
RandomCups;26/06/2021;13;0,120
RandomCups;26/06/2021;14;0,362
RandomCups;26/06/2021;15;0,017
RandomCups;26/06/2021;16;0,462
RandomCups;26/06/2021;17;0,170
RandomCups;26/06/2021;18;0,013
RandomCups;26/06/2021;19;0,399
RandomCups;26/06/2021;20;0,225
RandomCups;26/06/2021;21;0,478
RandomCups;26/06/2021;22;0,087
RandomCups;26/06/2021;23;0,284
RandomCups;26/06/2021;24;0,289
RandomCups;27/06/2021;1;0,243
RandomCups;27/06/2021;2;0,177
RandomCups;27/06/2021;3;0,191
RandomCups;27/06/2021;4;0,411
RandomCups;27/06/2021;5;0,273
RandomCups;27/06/2021;6;0,218
RandomCups;27/06/2021;7;0,382
RandomCups;27/06/2021;8;0,058
RandomCups;27/06/2021;9;0,116
RandomCups;27/06/2021;10;0,220
RandomCups;27/06/2021;11;0,051
RandomCups;27/06/2021;12;0,147
RandomCups;27/06/2021;13;0,138
RandomCups;27/06/2021;14;0,439
RandomCups;27/06/2021;15;0,075
RandomCups;27/06/2021;16;0,373
RandomCups;27/06/2021;17;0,214
RandomCups;27/06/2021;18;0,194
RandomCups;27/06/2021;19;0,344
RandomCups;27/06/2021;20;0,198
RandomCups;27/06/2021;21;0,213
RandomCups;27/06/2021;22;0,417
RandomCups;27/06/2021;23;0,170
RandomCups;27/06/2021;24;0,391
RandomCups;28/06/2021;1;0,132
RandomCups;28/06/2021;2;0,085
RandomCups;28/06/2021;3;0,498
RandomCups;28/06/2021;4;0,483
RandomCups;28/06/2021;5;0,408
RandomCups;28/06/2021;6;0,228
RandomCups;28/06/2021;7;0,016
RandomCups;28/06/2021;8;0,359
RandomCups;28/06/2021;9;0,272
RandomCups;28/06/2021;10;0,433
RandomCups;28/06/2021;11;0,374
RandomCups;28/06/2021;12;0,343
RandomCups;28/06/2021;13;0,314
RandomCups;28/06/2021;14;0,289
RandomCups;28/06/2021;15;0,202
RandomCups;28/06/2021;16;0,119
RandomCups;28/06/2021;17;0,043
RandomCups;28/06/2021;18;0,479
RandomCups;28/06/2021;19;0,381
RandomCups;28/06/2021;20;0,279
RandomCups;28/06/2021;21;0,431
RandomCups;28/06/2021;22;0,234
RandomCups;28/06/2021;23;0,155
RandomCups;28/06/2021;24;0,229
RandomCups;29/06/2021;1;0,125
RandomCups;29/06/2021;2;0,492
RandomCups;29/06/2021;3;0,079
RandomCups;29/06/2021;4;0,033
RandomCups;29/06/2021;5;0,395
RandomCups;29/06/2021;6;0,305
RandomCups;29/06/2021;7;0,347
RandomCups;29/06/2021;8;0,041
RandomCups;29/06/2021;9;0,352
RandomCups;29/06/2021;10;0,127
RandomCups;29/06/2021;11;0,092
RandomCups;29/06/2021;12;0,261
RandomCups;29/06/2021;13;0,155
RandomCups;29/06/2021;14;0,211
RandomCups;29/06/2021;15;0,456
RandomCups;29/06/2021;16;0,478
RandomCups;29/06/2021;17;0,143
RandomCups;29/06/2021;18;0,492
RandomCups;29/06/2021;19;0,469
RandomCups;29/06/2021;20;0,425
RandomCups;29/06/2021;21;0,178
RandomCups;29/06/2021;22;0,477
RandomCups;29/06/2021;23;0,048
RandomCups;29/06/2021;24;0,165
RandomCups;30/06/2021;1;0,047
RandomCups;30/06/2021;2;0,242
RandomCups;30/06/2021;3;0,434
RandomCups;30/06/2021;4;0,274
RandomCups;30/06/2021;5;0,419
RandomCups;30/06/2021;6;0,318
RandomCups;30/06/2021;7;0,312
RandomCups;30/06/2021;8;0,274
RandomCups;30/06/2021;9;0,303
RandomCups;30/06/2021;10;0,340
RandomCups;30/06/2021;11;0,004
RandomCups;30/06/2021;12;0,116
RandomCups;30/06/2021;13;0,496
RandomCups;30/06/2021;14;0,404
RandomCups;30/06/2021;15;0,295
RandomCups;30/06/2021;16;0,338
RandomCups;30/06/2021;17;0,070
RandomCups;30/06/2021;18;0,384
RandomCups;30/06/2021;19;0,493
RandomCups;30/06/2021;20;0,158
RandomCups;30/06/2021;21;0,115
RandomCups;30/06/2021;22;0,255
RandomCups;30/06/2021;23;0,122
RandomCups;30/06/2021;24;0,140
RandomCups;01/07/2021;1;0,157
RandomCups;01/07/2021;2;0,099
RandomCups;01/07/2021;3;0,479
RandomCups;01/07/2021;4;0,107
RandomCups;01/07/2021;5;0,082
RandomCups;01/07/2021;6;0,443
RandomCups;01/07/2021;7;0,318
RandomCups;01/07/2021;8;0,123
RandomCups;01/07/2021;9;0,375
RandomCups;01/07/2021;10;0,388
RandomCups;01/07/2021;11;0,052
RandomCups;01/07/2021;12;0,385
RandomCups;01/07/2021;13;0,139
RandomCups;01/07/2021;14;0,478
RandomCups;01/07/2021;15;0,032
RandomCups;01/07/2021;16;0,373
RandomCups;01/07/2021;17;0,459
RandomCups;01/07/2021;18;0,026
RandomCups;01/07/2021;19;0,072
RandomCups;01/07/2021;20;0,024
RandomCups;01/07/2021;21;0,437
RandomCups;01/07/2021;22;0,498
RandomCups;01/07/2021;23;0,397
RandomCups;01/07/2021;24;0,166
RandomCups;02/07/2021;1;0,087
RandomCups;02/07/2021;2;0,443
RandomCups;02/07/2021;3;0,184
RandomCups;02/07/2021;4;0,273
RandomCups;02/07/2021;5;0,251
RandomCups;02/07/2021;6;0,064
RandomCups;02/07/2021;7;0,314
RandomCups;02/07/2021;8;0,005
RandomCups;02/07/2021;9;0,423
RandomCups;02/07/2021;10;0,175
RandomCups;02/07/2021;11;0,427
RandomCups;02/07/2021;12;0,324
RandomCups;02/07/2021;13;0,372
RandomCups;02/07/2021;14;0,396
RandomCups;02/07/2021;15;0,291
RandomCups;02/07/2021;16;0,285
RandomCups;02/07/2021;17;0,335
RandomCups;02/07/2021;18;0,310
RandomCups;02/07/2021;19;0,479
RandomCups;02/07/2021;20;0,276
RandomCups;02/07/2021;21;0,236
RandomCups;02/07/2021;22;0,136
RandomCups;02/07/2021;23;0,321
RandomCups;02/07/2021;24;0,447
RandomCups;03/07/2021;1;0,084
RandomCups;03/07/2021;2;0,176
RandomCups;03/07/2021;3;0,011
RandomCups;03/07/2021;4;0,224
RandomCups;03/07/2021;5;0,206
RandomCups;03/07/2021;6;0,501
RandomCups;03/07/2021;7;0,251
RandomCups;03/07/2021;8;0,162
RandomCups;03/07/2021;9;0,203
RandomCups;03/07/2021;10;0,065
RandomCups;03/07/2021;11;0,316
RandomCups;03/07/2021;12;0,010
RandomCups;03/07/2021;13;0,114
RandomCups;03/07/2021;14;0,045
RandomCups;03/07/2021;15;0,136
RandomCups;03/07/2021;16;0,193
RandomCups;03/07/2021;17;0,325
RandomCups;03/07/2021;18;0,100
RandomCups;03/07/2021;19;0,403
RandomCups;03/07/2021;20;0,235
RandomCups;03/07/2021;21;0,484
RandomCups;03/07/2021;22;0,305
RandomCups;03/07/2021;23;0,208
RandomCups;03/07/2021;24;0,097
RandomCups;04/07/2021;1;0,256
RandomCups;04/07/2021;2;0,150
RandomCups;04/07/2021;3;0,381
RandomCups;04/07/2021;4;0,296
RandomCups;04/07/2021;5;0,456
RandomCups;04/07/2021;6;0,034
RandomCups;04/07/2021;7;0,257
RandomCups;04/07/2021;8;0,224
RandomCups;04/07/2021;9;0,470
RandomCups;04/07/2021;10;0,483
RandomCups;04/07/2021;11;0,385
RandomCups;04/07/2021;12;0,279
RandomCups;04/07/2021;13;0,422
RandomCups;04/07/2021;14;0,276
RandomCups;04/07/2021;15;0,095
RandomCups;04/07/2021;16;0,509
RandomCups;04/07/2021;17;0,284
